X,unigram,unifreq,prob
7118,somethin,181,2.67154836165002e-07
7119,sympathy,181,2.67154836165002e-07
7120,advised,180,2.6567884259503e-07
7121,attacking,180,2.6567884259503e-07
7122,believer,180,2.6567884259503e-07
7123,bias,180,2.6567884259503e-07
7124,conscience,180,2.6567884259503e-07
7125,corps,180,2.6567884259503e-07
7126,disc,180,2.6567884259503e-07
7127,discovering,180,2.6567884259503e-07
7128,drafted,180,2.6567884259503e-07
7129,enable,180,2.6567884259503e-07
7130,failures,180,2.6567884259503e-07
7131,flaws,180,2.6567884259503e-07
7132,grip,180,2.6567884259503e-07
7133,grove,180,2.6567884259503e-07
7134,helmet,180,2.6567884259503e-07
7135,intern,180,2.6567884259503e-07
7136,israeli,180,2.6567884259503e-07
7137,juicy,180,2.6567884259503e-07
7138,kay,180,2.6567884259503e-07
7139,layered,180,2.6567884259503e-07
7140,leaning,180,2.6567884259503e-07
7141,luther,180,2.6567884259503e-07
7142,madonna,180,2.6567884259503e-07
7143,maine,180,2.6567884259503e-07
7144,medication,180,2.6567884259503e-07
7145,peer,180,2.6567884259503e-07
7146,produces,180,2.6567884259503e-07
7147,proverb,180,2.6567884259503e-07
7148,psychology,180,2.6567884259503e-07
7149,resting,180,2.6567884259503e-07
7150,selena,180,2.6567884259503e-07
7151,tissue,180,2.6567884259503e-07
7152,welcomed,180,2.6567884259503e-07
7153,acknowledged,179,2.64202849025057e-07
7154,arsenal,179,2.64202849025057e-07
7155,ash,179,2.64202849025057e-07
7156,awaiting,179,2.64202849025057e-07
7157,bonds,179,2.64202849025057e-07
7158,camps,179,2.64202849025057e-07
7159,civic,179,2.64202849025057e-07
7160,delta,179,2.64202849025057e-07
7161,dye,179,2.64202849025057e-07
7162,guards,179,2.64202849025057e-07
7163,hiking,179,2.64202849025057e-07
7164,interact,179,2.64202849025057e-07
7165,legislature,179,2.64202849025057e-07
7166,marijuana,179,2.64202849025057e-07
7167,murphy,179,2.64202849025057e-07
7168,niall,179,2.64202849025057e-07
7169,norm,179,2.64202849025057e-07
7170,roster,179,2.64202849025057e-07
7171,shave,179,2.64202849025057e-07
7172,splash,179,2.64202849025057e-07
7173,steelers,179,2.64202849025057e-07
7174,strangely,179,2.64202849025057e-07
7175,teddy,179,2.64202849025057e-07
7176,tweeters,179,2.64202849025057e-07
7177,worthwhile,179,2.64202849025057e-07
7178,1960s,178,2.62726855455085e-07
7179,28th,178,2.62726855455085e-07
7180,bargain,178,2.62726855455085e-07
7181,boxing,178,2.62726855455085e-07
7182,disappoint,178,2.62726855455085e-07
7183,entertained,178,2.62726855455085e-07
7184,fbi,178,2.62726855455085e-07
7185,filing,178,2.62726855455085e-07
7186,flick,178,2.62726855455085e-07
7187,grease,178,2.62726855455085e-07
7188,hahahahaha,178,2.62726855455085e-07
7189,hulk,178,2.62726855455085e-07
7190,obstacles,178,2.62726855455085e-07
7191,radar,178,2.62726855455085e-07
7192,shipped,178,2.62726855455085e-07
7193,sober,178,2.62726855455085e-07
7194,superbowl,178,2.62726855455085e-07
7195,abused,177,2.61250861885113e-07
7196,anc,177,2.61250861885113e-07
7197,batteries,177,2.61250861885113e-07
7198,chorus,177,2.61250861885113e-07
7199,consume,177,2.61250861885113e-07
7200,conviction,177,2.61250861885113e-07
7201,danced,177,2.61250861885113e-07
7202,elaborate,177,2.61250861885113e-07
7203,embossing,177,2.61250861885113e-07
7204,eva,177,2.61250861885113e-07
7205,exercises,177,2.61250861885113e-07
7206,hardcore,177,2.61250861885113e-07
7207,harmony,177,2.61250861885113e-07
7208,kathy,177,2.61250861885113e-07
7209,lifting,177,2.61250861885113e-07
7210,lone,177,2.61250861885113e-07
7211,lynn,177,2.61250861885113e-07
7212,philip,177,2.61250861885113e-07
7213,pitched,177,2.61250861885113e-07
7214,predicted,177,2.61250861885113e-07
7215,pulse,177,2.61250861885113e-07
7216,replacing,177,2.61250861885113e-07
7217,restrictions,177,2.61250861885113e-07
7218,rows,177,2.61250861885113e-07
7219,seau,177,2.61250861885113e-07
7220,structures,177,2.61250861885113e-07
7221,tide,177,2.61250861885113e-07
7222,translated,177,2.61250861885113e-07
7223,wreck,177,2.61250861885113e-07
7224,apology,176,2.5977486831514e-07
7225,confirmation,176,2.5977486831514e-07
7226,contents,176,2.5977486831514e-07
7227,damned,176,2.5977486831514e-07
7228,diaper,176,2.5977486831514e-07
7229,discounts,176,2.5977486831514e-07
7230,dominant,176,2.5977486831514e-07
7231,dusty,176,2.5977486831514e-07
7232,employer,176,2.5977486831514e-07
7233,evenings,176,2.5977486831514e-07
7234,flexible,176,2.5977486831514e-07
7235,graphics,176,2.5977486831514e-07
7236,headquarters,176,2.5977486831514e-07
7237,joey,176,2.5977486831514e-07
7238,lesbian,176,2.5977486831514e-07
7239,mens,176,2.5977486831514e-07
7240,mindset,176,2.5977486831514e-07
7241,pies,176,2.5977486831514e-07
7242,pins,176,2.5977486831514e-07
7243,processed,176,2.5977486831514e-07
7244,que,176,2.5977486831514e-07
7245,rejection,176,2.5977486831514e-07
7246,residence,176,2.5977486831514e-07
7247,separation,176,2.5977486831514e-07
7248,snapped,176,2.5977486831514e-07
7249,spark,176,2.5977486831514e-07
7250,su,176,2.5977486831514e-07
7251,suspicious,176,2.5977486831514e-07
7252,thesis,176,2.5977486831514e-07
7253,trilogy,176,2.5977486831514e-07
7254,wage,176,2.5977486831514e-07
7255,27th,175,2.58298874745168e-07
7256,abstract,175,2.58298874745168e-07
7257,aimed,175,2.58298874745168e-07
7258,biscuits,175,2.58298874745168e-07
7259,critique,175,2.58298874745168e-07
7260,daylight,175,2.58298874745168e-07
7261,driveway,175,2.58298874745168e-07
7262,fierce,175,2.58298874745168e-07
7263,lax,175,2.58298874745168e-07
7264,margaret,175,2.58298874745168e-07
7265,mushrooms,175,2.58298874745168e-07
7266,openly,175,2.58298874745168e-07
7267,par,175,2.58298874745168e-07
7268,pirate,175,2.58298874745168e-07
7269,polite,175,2.58298874745168e-07
7270,presidents,175,2.58298874745168e-07
7271,proudly,175,2.58298874745168e-07
7272,relieved,175,2.58298874745168e-07
7273,sci,175,2.58298874745168e-07
7274,strictly,175,2.58298874745168e-07
7275,throne,175,2.58298874745168e-07
7276,vibrant,175,2.58298874745168e-07
7277,virtue,175,2.58298874745168e-07
7278,von,175,2.58298874745168e-07
7279,wallace,175,2.58298874745168e-07
7280,anchor,174,2.56822881175195e-07
7281,bailey,174,2.56822881175195e-07
7282,bees,174,2.56822881175195e-07
7283,biblical,174,2.56822881175195e-07
7284,cigarettes,174,2.56822881175195e-07
7285,contributed,174,2.56822881175195e-07
7286,convincing,174,2.56822881175195e-07
7287,crab,174,2.56822881175195e-07
7288,democrat,174,2.56822881175195e-07
7289,dev,174,2.56822881175195e-07
7290,disciples,174,2.56822881175195e-07
7291,evident,174,2.56822881175195e-07
7292,frames,174,2.56822881175195e-07
7293,grammy,174,2.56822881175195e-07
7294,grants,174,2.56822881175195e-07
7295,haunted,174,2.56822881175195e-07
7296,hump,174,2.56822881175195e-07
7297,itll,174,2.56822881175195e-07
7298,mavs,174,2.56822881175195e-07
7299,micro,174,2.56822881175195e-07
7300,nicer,174,2.56822881175195e-07
7301,pictured,174,2.56822881175195e-07
7302,popularity,174,2.56822881175195e-07
7303,pricing,174,2.56822881175195e-07
7304,proceeded,174,2.56822881175195e-07
7305,recordings,174,2.56822881175195e-07
7306,singapore,174,2.56822881175195e-07
7307,stiff,174,2.56822881175195e-07
7308,terrorists,174,2.56822881175195e-07
7309,tones,174,2.56822881175195e-07
7310,wats,174,2.56822881175195e-07
7311,whisk,174,2.56822881175195e-07
7312,22nd,173,2.55346887605223e-07
7313,achieving,173,2.55346887605223e-07
7314,amusing,173,2.55346887605223e-07
7315,announces,173,2.55346887605223e-07
7316,arrangement,173,2.55346887605223e-07
7317,boiling,173,2.55346887605223e-07
7318,cardboard,173,2.55346887605223e-07
7319,cigarette,173,2.55346887605223e-07
7320,coal,173,2.55346887605223e-07
7321,dependent,173,2.55346887605223e-07
7322,displays,173,2.55346887605223e-07
7323,dolphins,173,2.55346887605223e-07
7324,earrings,173,2.55346887605223e-07
7325,escaped,173,2.55346887605223e-07
7326,farms,173,2.55346887605223e-07
7327,fountain,173,2.55346887605223e-07
7328,girly,173,2.55346887605223e-07
7329,glued,173,2.55346887605223e-07
7330,hopping,173,2.55346887605223e-07
7331,improvements,173,2.55346887605223e-07
7332,ins,173,2.55346887605223e-07
7333,interviewing,173,2.55346887605223e-07
7334,lucy,173,2.55346887605223e-07
7335,males,173,2.55346887605223e-07
7336,mke,173,2.55346887605223e-07
7337,needle,173,2.55346887605223e-07
7338,panels,173,2.55346887605223e-07
7339,partially,173,2.55346887605223e-07
7340,pres,173,2.55346887605223e-07
7341,remembers,173,2.55346887605223e-07
7342,ribs,173,2.55346887605223e-07
7343,seated,173,2.55346887605223e-07
7344,sidebar,173,2.55346887605223e-07
7345,stating,173,2.55346887605223e-07
7346,strain,173,2.55346887605223e-07
7347,straw,173,2.55346887605223e-07
7348,tropical,173,2.55346887605223e-07
7349,underway,173,2.55346887605223e-07
7350,advocates,172,2.53870894035251e-07
7351,analyst,172,2.53870894035251e-07
7352,array,172,2.53870894035251e-07
7353,centered,172,2.53870894035251e-07
7354,cheesecake,172,2.53870894035251e-07
7355,dug,172,2.53870894035251e-07
7356,fighter,172,2.53870894035251e-07
7357,guides,172,2.53870894035251e-07
7358,hustle,172,2.53870894035251e-07
7359,ingredient,172,2.53870894035251e-07
7360,instructor,172,2.53870894035251e-07
7361,judged,172,2.53870894035251e-07
7362,louder,172,2.53870894035251e-07
7363,marcus,172,2.53870894035251e-07
7364,noah,172,2.53870894035251e-07
7365,presentations,172,2.53870894035251e-07
7366,reasonably,172,2.53870894035251e-07
7367,rises,172,2.53870894035251e-07
7368,ruby,172,2.53870894035251e-07
7369,shallow,172,2.53870894035251e-07
7370,shifting,172,2.53870894035251e-07
7371,sleeves,172,2.53870894035251e-07
7372,stared,172,2.53870894035251e-07
7373,stephanie,172,2.53870894035251e-07
7374,swiss,172,2.53870894035251e-07
7375,trunk,172,2.53870894035251e-07
7376,breed,171,2.52394900465278e-07
7377,catalog,171,2.52394900465278e-07
7378,charter,171,2.52394900465278e-07
7379,civilization,171,2.52394900465278e-07
7380,greetings,171,2.52394900465278e-07
7381,heating,171,2.52394900465278e-07
7382,investing,171,2.52394900465278e-07
7383,limitations,171,2.52394900465278e-07
7384,mash,171,2.52394900465278e-07
7385,mock,171,2.52394900465278e-07
7386,modest,171,2.52394900465278e-07
7387,oriented,171,2.52394900465278e-07
7388,outline,171,2.52394900465278e-07
7389,prevention,171,2.52394900465278e-07
7390,prospects,171,2.52394900465278e-07
7391,requirement,171,2.52394900465278e-07
7392,screens,171,2.52394900465278e-07
7393,skipped,171,2.52394900465278e-07
7394,snowing,171,2.52394900465278e-07
7395,stat,171,2.52394900465278e-07
7396,superb,171,2.52394900465278e-07
7397,template,171,2.52394900465278e-07
7398,trophy,171,2.52394900465278e-07
7399,uw,171,2.52394900465278e-07
7400,victor,171,2.52394900465278e-07
7401,vincent,171,2.52394900465278e-07
7402,woah,171,2.52394900465278e-07
7403,abbey,170,2.50918906895306e-07
7404,absurd,170,2.50918906895306e-07
7405,asset,170,2.50918906895306e-07
7406,attraction,170,2.50918906895306e-07
7407,bureau,170,2.50918906895306e-07
7408,chains,170,2.50918906895306e-07
7409,coupons,170,2.50918906895306e-07
7410,desserts,170,2.50918906895306e-07
7411,investigating,170,2.50918906895306e-07
7412,miracles,170,2.50918906895306e-07
7413,obamas,170,2.50918906895306e-07
7414,phrases,170,2.50918906895306e-07
7415,pots,170,2.50918906895306e-07
7416,processor,170,2.50918906895306e-07
7417,reduction,170,2.50918906895306e-07
7418,revolutionary,170,2.50918906895306e-07
7419,skillet,170,2.50918906895306e-07
7420,southwest,170,2.50918906895306e-07
7421,tablespoons,170,2.50918906895306e-07
7422,touring,170,2.50918906895306e-07
7423,troy,170,2.50918906895306e-07
7424,verses,170,2.50918906895306e-07
7425,yolo,170,2.50918906895306e-07
7426,acres,169,2.49442913325334e-07
7427,breakdown,169,2.49442913325334e-07
7428,ch,169,2.49442913325334e-07
7429,conf,169,2.49442913325334e-07
7430,continually,169,2.49442913325334e-07
7431,cooling,169,2.49442913325334e-07
7432,dramatically,169,2.49442913325334e-07
7433,einstein,169,2.49442913325334e-07
7434,fiscal,169,2.49442913325334e-07
7435,flawless,169,2.49442913325334e-07
7436,foolish,169,2.49442913325334e-07
7437,functional,169,2.49442913325334e-07
7438,gallon,169,2.49442913325334e-07
7439,hallway,169,2.49442913325334e-07
7440,illustrated,169,2.49442913325334e-07
7441,invasion,169,2.49442913325334e-07
7442,lesser,169,2.49442913325334e-07
7443,margarita,169,2.49442913325334e-07
7444,metaphor,169,2.49442913325334e-07
7445,minneapolis,169,2.49442913325334e-07
7446,outlook,169,2.49442913325334e-07
7447,oxford,169,2.49442913325334e-07
7448,photoshop,169,2.49442913325334e-07
7449,poison,169,2.49442913325334e-07
7450,pubs,169,2.49442913325334e-07
7451,slides,169,2.49442913325334e-07
7452,tn,169,2.49442913325334e-07
7453,toxic,169,2.49442913325334e-07
7454,vary,169,2.49442913325334e-07
7455,1970s,168,2.47966919755361e-07
7456,29th,168,2.47966919755361e-07
7457,berlin,168,2.47966919755361e-07
7458,blossom,168,2.47966919755361e-07
7459,broccoli,168,2.47966919755361e-07
7460,cheeks,168,2.47966919755361e-07
7461,chemicals,168,2.47966919755361e-07
7462,consecutive,168,2.47966919755361e-07
7463,culinary,168,2.47966919755361e-07
7464,diy,168,2.47966919755361e-07
7465,drunken,168,2.47966919755361e-07
7466,floral,168,2.47966919755361e-07
7467,foil,168,2.47966919755361e-07
7468,ghosts,168,2.47966919755361e-07
7469,joins,168,2.47966919755361e-07
7470,knocking,168,2.47966919755361e-07
7471,nicki,168,2.47966919755361e-07
7472,pains,168,2.47966919755361e-07
7473,patterned,168,2.47966919755361e-07
7474,placement,168,2.47966919755361e-07
7475,rank,168,2.47966919755361e-07
7476,regions,168,2.47966919755361e-07
7477,risen,168,2.47966919755361e-07
7478,seeks,168,2.47966919755361e-07
7479,squares,168,2.47966919755361e-07
7480,tart,168,2.47966919755361e-07
7481,artificial,167,2.46490926185389e-07
7482,bachelor,167,2.46490926185389e-07
7483,brett,167,2.46490926185389e-07
7484,buds,167,2.46490926185389e-07
7485,buses,167,2.46490926185389e-07
7486,carrier,167,2.46490926185389e-07
7487,colleges,167,2.46490926185389e-07
7488,component,167,2.46490926185389e-07
7489,conferences,167,2.46490926185389e-07
7490,dances,167,2.46490926185389e-07
7491,drummer,167,2.46490926185389e-07
7492,encourages,167,2.46490926185389e-07
7493,gains,167,2.46490926185389e-07
7494,hahahah,167,2.46490926185389e-07
7495,homer,167,2.46490926185389e-07
7496,inability,167,2.46490926185389e-07
7497,inspires,167,2.46490926185389e-07
7498,ironically,167,2.46490926185389e-07
7499,isolated,167,2.46490926185389e-07
7500,lease,167,2.46490926185389e-07
7501,muse,167,2.46490926185389e-07
7502,petty,167,2.46490926185389e-07
7503,prescription,167,2.46490926185389e-07
7504,quiz,167,2.46490926185389e-07
7505,regulation,167,2.46490926185389e-07
7506,revealing,167,2.46490926185389e-07
7507,satisfy,167,2.46490926185389e-07
7508,scarf,167,2.46490926185389e-07
7509,seo,167,2.46490926185389e-07
7510,serial,167,2.46490926185389e-07
7511,simmer,167,2.46490926185389e-07
7512,spaghetti,167,2.46490926185389e-07
7513,stored,167,2.46490926185389e-07
7514,subscribe,167,2.46490926185389e-07
7515,supermarket,167,2.46490926185389e-07
7516,symphony,167,2.46490926185389e-07
7517,terminal,167,2.46490926185389e-07
7518,trails,167,2.46490926185389e-07
7519,zach,167,2.46490926185389e-07
7520,1980s,166,2.45014932615416e-07
7521,addresses,166,2.45014932615416e-07
7522,adele,166,2.45014932615416e-07
7523,attorneys,166,2.45014932615416e-07
7524,blvd,166,2.45014932615416e-07
7525,brass,166,2.45014932615416e-07
7526,chew,166,2.45014932615416e-07
7527,commute,166,2.45014932615416e-07
7528,conditioning,166,2.45014932615416e-07
7529,congressional,166,2.45014932615416e-07
7530,cos,166,2.45014932615416e-07
7531,counsel,166,2.45014932615416e-07
7532,decorations,166,2.45014932615416e-07
7533,delivers,166,2.45014932615416e-07
7534,diane,166,2.45014932615416e-07
7535,doubts,166,2.45014932615416e-07
7536,douglas,166,2.45014932615416e-07
7537,erin,166,2.45014932615416e-07
7538,evenly,166,2.45014932615416e-07
7539,feminine,166,2.45014932615416e-07
7540,grin,166,2.45014932615416e-07
7541,lanes,166,2.45014932615416e-07
7542,muffins,166,2.45014932615416e-07
7543,nm,166,2.45014932615416e-07
7544,pac,166,2.45014932615416e-07
7545,printer,166,2.45014932615416e-07
7546,reflects,166,2.45014932615416e-07
7547,resolutions,166,2.45014932615416e-07
7548,retro,166,2.45014932615416e-07
7549,rewarding,166,2.45014932615416e-07
7550,rotation,166,2.45014932615416e-07
7551,salty,166,2.45014932615416e-07
7552,settling,166,2.45014932615416e-07
7553,smallest,166,2.45014932615416e-07
7554,stem,166,2.45014932615416e-07
7555,storytelling,166,2.45014932615416e-07
7556,stove,166,2.45014932615416e-07
7557,sunlight,166,2.45014932615416e-07
7558,tuna,166,2.45014932615416e-07
7559,unreal,166,2.45014932615416e-07
7560,wool,166,2.45014932615416e-07
7561,wounds,166,2.45014932615416e-07
7562,6am,165,2.43538939045444e-07
7563,appointments,165,2.43538939045444e-07
7564,behold,165,2.43538939045444e-07
7565,blush,165,2.43538939045444e-07
7566,bowls,165,2.43538939045444e-07
7567,canned,165,2.43538939045444e-07
7568,chad,165,2.43538939045444e-07
7569,champ,165,2.43538939045444e-07
7570,classics,165,2.43538939045444e-07
7571,collar,165,2.43538939045444e-07
7572,comp,165,2.43538939045444e-07
7573,concentration,165,2.43538939045444e-07
7574,diff,165,2.43538939045444e-07
7575,exceptional,165,2.43538939045444e-07
7576,excessive,165,2.43538939045444e-07
7577,exhausting,165,2.43538939045444e-07
7578,fighters,165,2.43538939045444e-07
7579,formerly,165,2.43538939045444e-07
7580,forming,165,2.43538939045444e-07
7581,fulfill,165,2.43538939045444e-07
7582,fundraising,165,2.43538939045444e-07
7583,hows,165,2.43538939045444e-07
7584,invested,165,2.43538939045444e-07
7585,juan,165,2.43538939045444e-07
7586,kurt,165,2.43538939045444e-07
7587,lakes,165,2.43538939045444e-07
7588,mandatory,165,2.43538939045444e-07
7589,marker,165,2.43538939045444e-07
7590,mates,165,2.43538939045444e-07
7591,murray,165,2.43538939045444e-07
7592,nationwide,165,2.43538939045444e-07
7593,possess,165,2.43538939045444e-07
7594,sb,165,2.43538939045444e-07
7595,slick,165,2.43538939045444e-07
7596,sofa,165,2.43538939045444e-07
7597,stamping,165,2.43538939045444e-07
7598,tablespoon,165,2.43538939045444e-07
7599,unaware,165,2.43538939045444e-07
7600,wander,165,2.43538939045444e-07
7601,zip,165,2.43538939045444e-07
7602,adapted,164,2.42062945475471e-07
7603,arc,164,2.42062945475471e-07
7604,balloon,164,2.42062945475471e-07
7605,bankruptcy,164,2.42062945475471e-07
7606,bastard,164,2.42062945475471e-07
7607,bats,164,2.42062945475471e-07
7608,bitterness,164,2.42062945475471e-07
7609,blocking,164,2.42062945475471e-07
7610,boutique,164,2.42062945475471e-07
7611,brewed,164,2.42062945475471e-07
7612,burrito,164,2.42062945475471e-07
7613,convenience,164,2.42062945475471e-07
7614,cue,164,2.42062945475471e-07
7615,designated,164,2.42062945475471e-07
7616,digi,164,2.42062945475471e-07
7617,diseases,164,2.42062945475471e-07
7618,financially,164,2.42062945475471e-07
7619,frost,164,2.42062945475471e-07
7620,generated,164,2.42062945475471e-07
7621,horn,164,2.42062945475471e-07
7622,hybrid,164,2.42062945475471e-07
7623,immune,164,2.42062945475471e-07
7624,influences,164,2.42062945475471e-07
7625,invention,164,2.42062945475471e-07
7626,katy,164,2.42062945475471e-07
7627,lining,164,2.42062945475471e-07
7628,loaf,164,2.42062945475471e-07
7629,notable,164,2.42062945475471e-07
7630,planes,164,2.42062945475471e-07
7631,publicity,164,2.42062945475471e-07
7632,pun,164,2.42062945475471e-07
7633,rebel,164,2.42062945475471e-07
7634,responsibilities,164,2.42062945475471e-07
7635,safer,164,2.42062945475471e-07
7636,sally,164,2.42062945475471e-07
7637,scraps,164,2.42062945475471e-07
7638,shifts,164,2.42062945475471e-07
7639,sixteen,164,2.42062945475471e-07
7640,theft,164,2.42062945475471e-07
7641,thinkin,164,2.42062945475471e-07
7642,thursdays,164,2.42062945475471e-07
7643,traditionally,164,2.42062945475471e-07
7644,vacuum,164,2.42062945475471e-07
7645,verizon,164,2.42062945475471e-07
7646,witnesses,164,2.42062945475471e-07
7647,8am,163,2.40586951905499e-07
7648,accountability,163,2.40586951905499e-07
7649,affection,163,2.40586951905499e-07
7650,amp,163,2.40586951905499e-07
7651,blasting,163,2.40586951905499e-07
7652,bracelet,163,2.40586951905499e-07
7653,bravo,163,2.40586951905499e-07
7654,communist,163,2.40586951905499e-07
7655,crispy,163,2.40586951905499e-07
7656,deemed,163,2.40586951905499e-07
7657,doubled,163,2.40586951905499e-07
7658,drawings,163,2.40586951905499e-07
7659,dryer,163,2.40586951905499e-07
7660,eternity,163,2.40586951905499e-07
7661,gearing,163,2.40586951905499e-07
7662,graduates,163,2.40586951905499e-07
7663,invites,163,2.40586951905499e-07
7664,ladder,163,2.40586951905499e-07
7665,liar,163,2.40586951905499e-07
7666,lp,163,2.40586951905499e-07
7667,monitoring,163,2.40586951905499e-07
7668,morris,163,2.40586951905499e-07
7669,opponent,163,2.40586951905499e-07
7670,papa,163,2.40586951905499e-07
7671,permanently,163,2.40586951905499e-07
7672,phillips,163,2.40586951905499e-07
7673,procedures,163,2.40586951905499e-07
7674,quarterback,163,2.40586951905499e-07
7675,rad,163,2.40586951905499e-07
7676,refuses,163,2.40586951905499e-07
7677,reign,163,2.40586951905499e-07
7678,salute,163,2.40586951905499e-07
7679,servant,163,2.40586951905499e-07
7680,spoil,163,2.40586951905499e-07
7681,stylish,163,2.40586951905499e-07
7682,tactics,163,2.40586951905499e-07
7683,theories,163,2.40586951905499e-07
7684,void,163,2.40586951905499e-07
7685,wakes,163,2.40586951905499e-07
7686,arnold,162,2.39110958335527e-07
7687,belgian,162,2.39110958335527e-07
7688,caribbean,162,2.39110958335527e-07
7689,chores,162,2.39110958335527e-07
7690,corrupt,162,2.39110958335527e-07
7691,cottage,162,2.39110958335527e-07
7692,creep,162,2.39110958335527e-07
7693,endure,162,2.39110958335527e-07
7694,engineers,162,2.39110958335527e-07
7695,es,162,2.39110958335527e-07
7696,ff,162,2.39110958335527e-07
7697,gifted,162,2.39110958335527e-07
7698,groceries,162,2.39110958335527e-07
7699,masterpiece,162,2.39110958335527e-07
7700,quirky,162,2.39110958335527e-07
7701,ranging,162,2.39110958335527e-07
7702,retain,162,2.39110958335527e-07
7703,scholars,162,2.39110958335527e-07
7704,separated,162,2.39110958335527e-07
7705,stitches,162,2.39110958335527e-07
7706,transform,162,2.39110958335527e-07
7707,wales,162,2.39110958335527e-07
7708,accomplishment,161,2.37634964765554e-07
7709,acquire,161,2.37634964765554e-07
7710,appeals,161,2.37634964765554e-07
7711,beneficial,161,2.37634964765554e-07
7712,citrus,161,2.37634964765554e-07
7713,converted,161,2.37634964765554e-07
7714,dual,161,2.37634964765554e-07
7715,dunk,161,2.37634964765554e-07
7716,duo,161,2.37634964765554e-07
7717,emerson,161,2.37634964765554e-07
7718,executed,161,2.37634964765554e-07
7719,explode,161,2.37634964765554e-07
7720,forehead,161,2.37634964765554e-07
7721,grounded,161,2.37634964765554e-07
7722,holmes,161,2.37634964765554e-07
7723,hoops,161,2.37634964765554e-07
7724,implications,161,2.37634964765554e-07
7725,inevitably,161,2.37634964765554e-07
7726,lager,161,2.37634964765554e-07
7727,lent,161,2.37634964765554e-07
7728,liver,161,2.37634964765554e-07
7729,mailing,161,2.37634964765554e-07
7730,nazi,161,2.37634964765554e-07
7731,orientation,161,2.37634964765554e-07
7732,pierce,161,2.37634964765554e-07
7733,recap,161,2.37634964765554e-07
7734,reds,161,2.37634964765554e-07
7735,seth,161,2.37634964765554e-07
7736,slot,161,2.37634964765554e-07
7737,supporter,161,2.37634964765554e-07
7738,survivors,161,2.37634964765554e-07
7739,treatments,161,2.37634964765554e-07
7740,vampires,161,2.37634964765554e-07
7741,vince,161,2.37634964765554e-07
7742,ab,160,2.36158971195582e-07
7743,absent,160,2.36158971195582e-07
7744,apocalypse,160,2.36158971195582e-07
7745,arrangements,160,2.36158971195582e-07
7746,asses,160,2.36158971195582e-07
7747,blair,160,2.36158971195582e-07
7748,capitalism,160,2.36158971195582e-07
7749,christina,160,2.36158971195582e-07
7750,clearing,160,2.36158971195582e-07
7751,custody,160,2.36158971195582e-07
7752,dental,160,2.36158971195582e-07
7753,districts,160,2.36158971195582e-07
7754,engines,160,2.36158971195582e-07
7755,esteem,160,2.36158971195582e-07
7756,estimate,160,2.36158971195582e-07
7757,fabrics,160,2.36158971195582e-07
7758,favour,160,2.36158971195582e-07
7759,float,160,2.36158971195582e-07
7760,furthermore,160,2.36158971195582e-07
7761,guts,160,2.36158971195582e-07
7762,hater,160,2.36158971195582e-07
7763,headlines,160,2.36158971195582e-07
7764,hints,160,2.36158971195582e-07
7765,judgement,160,2.36158971195582e-07
7766,literacy,160,2.36158971195582e-07
7767,loudly,160,2.36158971195582e-07
7768,masses,160,2.36158971195582e-07
7769,mets,160,2.36158971195582e-07
7770,ministers,160,2.36158971195582e-07
7771,neglected,160,2.36158971195582e-07
7772,paired,160,2.36158971195582e-07
7773,pigs,160,2.36158971195582e-07
7774,presumably,160,2.36158971195582e-07
7775,proposals,160,2.36158971195582e-07
7776,proving,160,2.36158971195582e-07
7777,recycling,160,2.36158971195582e-07
7778,resolved,160,2.36158971195582e-07
7779,righteous,160,2.36158971195582e-07
7780,sack,160,2.36158971195582e-07
7781,slut,160,2.36158971195582e-07
7782,spine,160,2.36158971195582e-07
7783,sweating,160,2.36158971195582e-07
7784,temptation,160,2.36158971195582e-07
7785,thriller,160,2.36158971195582e-07
7786,visions,160,2.36158971195582e-07
7787,wildlife,160,2.36158971195582e-07
7788,wk,160,2.36158971195582e-07
7789,wounded,160,2.36158971195582e-07
7790,alcoholic,159,2.3468297762561e-07
7791,blended,159,2.3468297762561e-07
7792,bubbles,159,2.3468297762561e-07
7793,chrome,159,2.3468297762561e-07
7794,cleaner,159,2.3468297762561e-07
7795,compensation,159,2.3468297762561e-07
7796,controlling,159,2.3468297762561e-07
7797,dealer,159,2.3468297762561e-07
7798,edwards,159,2.3468297762561e-07
7799,fellowship,159,2.3468297762561e-07
7800,fisher,159,2.3468297762561e-07
7801,folded,159,2.3468297762561e-07
7802,geez,159,2.3468297762561e-07
7803,hitler,159,2.3468297762561e-07
7804,infinite,159,2.3468297762561e-07
7805,ios,159,2.3468297762561e-07
7806,lamp,159,2.3468297762561e-07
7807,mc,159,2.3468297762561e-07
7808,mickey,159,2.3468297762561e-07
7809,mills,159,2.3468297762561e-07
7810,mph,159,2.3468297762561e-07
7811,notch,159,2.3468297762561e-07
7812,pats,159,2.3468297762561e-07
7813,preference,159,2.3468297762561e-07
7814,provider,159,2.3468297762561e-07
7815,rats,159,2.3468297762561e-07
7816,recovered,159,2.3468297762561e-07
7817,renewed,159,2.3468297762561e-07
7818,restored,159,2.3468297762561e-07
7819,rev,159,2.3468297762561e-07
7820,rio,159,2.3468297762561e-07
7821,scrapbook,159,2.3468297762561e-07
7822,sprint,159,2.3468297762561e-07
7823,stanford,159,2.3468297762561e-07
7824,surround,159,2.3468297762561e-07
7825,swallow,159,2.3468297762561e-07
7826,tanning,159,2.3468297762561e-07
