X,unigram,unifreq,prob
180,getting,12530,1.8494199431754e-05
181,same,12311,1.81709568399301e-05
182,looking,12077,1.78255743445565e-05
183,everyone,11935,1.76159832576204e-05
184,old,11902,1.75672754698114e-05
185,keep,11761,1.73591603764452e-05
186,yes,11731,1.73148805693461e-05
187,dont,11702,1.72720767558169e-05
188,does,11686,1.72484608586973e-05
189,game,11563,1.70669136495907e-05
190,use,11432,1.68735584919243e-05
191,morning,11309,1.66920112828177e-05
192,doing,11304,1.66846313149679e-05
193,days,11289,1.66624914114183e-05
194,please,11279,1.66477314757186e-05
195,school,11257,1.66152596171792e-05
196,help,11234,1.65813117650698e-05
197,give,11230,1.65754077907899e-05
198,fun,10932,1.61355617069381e-05
199,own,10883,1.60632380220095e-05
200,though,10743,1.58565989222134e-05
201,since,10622,1.56780037002467e-05
202,put,10531,1.55436882853792e-05
203,thought,10446,1.54182288319316e-05
204,such,10429,1.5393136941242e-05
205,lot,10370,1.53060533206137e-05
206,wait,10282,1.51761658864561e-05
207,friends,10245,1.51215541243671e-05
208,away,10236,1.51082701822374e-05
209,tell,10212,1.5072846336558e-05
210,someone,10194,1.50462784522985e-05
211,place,10107,1.49178670117109e-05
212,until,9989,1.47436997704542e-05
213,god,9919,1.46403802205561e-05
214,tomorrow,9907,1.46226682977164e-05
215,done,9887,1.4593148426317e-05
216,start,9884,1.45887204456071e-05
217,book,9860,1.45532965999277e-05
218,bad,9793,1.44544050307396e-05
219,free,9793,1.44544050307396e-05
220,nice,9741,1.4377653365101e-05
221,having,9706,1.4325993590152e-05
222,pretty,9690,1.43023776930324e-05
223,end,9597,1.4165110291025e-05
224,live,9597,1.4165110291025e-05
225,twitter,9525,1.4058838753987e-05
226,both,9462,1.39658511590787e-05
227,house,9442,1.39363312876793e-05
228,didn,9376,1.38389157120611e-05
229,might,9350,1.38005398792418e-05
230,part,9248,1.36499885351046e-05
231,used,9082,1.34049736024892e-05
232,weekend,9048,1.33547898211102e-05
233,family,9044,1.33488858468303e-05
234,each,9012,1.33016540525912e-05
235,hard,8972,1.32426143097923e-05
236,yet,8944,1.3201286489833e-05
237,call,8926,1.31747186055735e-05
238,read,8916,1.31599586698738e-05
239,real,8830,1.30330232228562e-05
240,soon,8827,1.30285952421463e-05
241,actually,8755,1.29223237051083e-05
242,coming,8732,1.28883758529989e-05
243,try,8723,1.28750919108691e-05
244,went,8712,1.28588559815994e-05
245,awesome,8695,1.28337640909099e-05
246,without,8550,1.26197450232639e-05
247,making,8491,1.25326614026355e-05
248,already,8471,1.25031415312361e-05
249,stop,8453,1.24765736469766e-05
250,enough,8405,1.24057259556179e-05
251,hey,8386,1.23776820777884e-05
252,haha,8351,1.23260223028394e-05
253,music,8341,1.23112623671397e-05
254,check,8336,1.23038823992898e-05
255,makes,8200,1.21031472737736e-05
256,play,8191,1.20898633316438e-05
257,everything,8164,1.20500115052546e-05
258,must,8140,1.20145876595752e-05
259,left,8135,1.20072076917254e-05
260,working,8131,1.20013037174455e-05
261,found,8120,1.19850677881758e-05
262,maybe,8071,1.19127441032471e-05
263,amazing,8028,1.18492763797383e-05
264,nothing,8008,1.18197565083389e-05
265,trying,8007,1.18182805147689e-05
266,post,7978,1.17754767012397e-05
267,anything,7958,1.17459568298403e-05
268,girl,7926,1.16987250356011e-05
269,once,7864,1.16072134342629e-05
270,times,7803,1.15171778264945e-05
271,anyone,7753,1.14433781479959e-05
272,three,7677,1.1331202636678e-05
273,yeah,7664,1.13120147202684e-05
274,high,7630,1.12618309388893e-05
275,myself,7613,1.12367390481998e-05
276,bit,7589,1.12013152025204e-05
277,guys,7577,1.11836032796808e-05
278,watching,7535,1.11216115497419e-05
279,ready,7459,1.1009436038424e-05
280,friend,7426,1.09607282506149e-05
281,came,7407,1.09326843727855e-05
282,talk,7281,1.0746709182969e-05
283,story,7265,1.07230932858494e-05
284,person,7255,1.07083333501497e-05
285,set,7208,1.0638961652361e-05
286,food,7175,1.05902538645519e-05
287,miss,7160,1.05681139610023e-05
288,wish,7130,1.05238341539031e-05
289,head,7111,1.04957902760736e-05
290,watch,7109,1.04928382889337e-05
291,cool,7052,1.04087066554453e-05
292,course,7052,1.04087066554453e-05
293,far,7042,1.03939467197456e-05
294,name,7040,1.03909947326056e-05
295,point,7028,1.03732828097659e-05
296,together,6936,1.02374914013285e-05
297,believe,6935,1.02360154077585e-05
298,least,6932,1.02315874270486e-05
299,team,6899,1.01828796392395e-05
300,job,6896,1.01784516585296e-05
301,between,6894,1.01754996713896e-05
302,beautiful,6881,1.015631175498e-05
303,hear,6879,1.01533597678401e-05
304,different,6867,1.01356478450004e-05
305,gonna,6860,1.01253158900106e-05
306,mind,6775,9.99985643656292e-06
307,saw,6718,9.9157248030745e-06
308,kids,6712,9.90686884165466e-06
309,called,6688,9.87144499597533e-06
310,money,6662,9.83306916315605e-06
311,top,6639,9.79912131104668e-06
312,took,6620,9.7710774332172e-06
313,true,6603,9.74598554252767e-06
314,hate,6588,9.72384563897809e-06
315,city,6587,9.72236964540811e-06
316,kind,6583,9.71646567112823e-06
317,full,6572,9.70022974185853e-06
318,open,6551,9.66923387688911e-06
319,started,6543,9.65742592832933e-06
320,blog,6534,9.64414198619958e-06
321,mean,6531,9.63971400548966e-06
322,says,6490,9.57919826912079e-06
323,told,6476,9.55853435914118e-06
324,remember,6442,9.50835057776212e-06
325,during,6409,9.45964278995303e-06
326,favorite,6395,9.43897887997342e-06
327,friday,6384,9.42274295070372e-06
328,run,6371,9.40355503429408e-06
