fourgram,fourfreq,predictor,fivefreq,prob
going_to_take_a,53,nap,6,0.113207547169811
going_to_the_game,32,tonight,6,0.1875
going_to_try_and,40,get,6,0.15
gold_at_the_end,6,of,6,1
gonna_be_a_great,37,show,6,0.162162162162162
gonna_be_one_of,7,those,6,0.857142857142857
gonna_be_so_much,6,fun,6,1
good_a_time_as,7,any,6,0.857142857142857
good_morning_and_welcome,8,to,6,0.75
good_thing_or_a,6,bad,6,1
good_time_was_had,6,by,6,1
good_to_be_back,59,on,6,0.101694915254237
good_to_see_you,115,today,6,0.0521739130434783
good_way_to_start,13,the,6,0.461538461538462
got_a_chance_to,37,see,6,0.162162162162162
got_a_kick_out,6,of,6,1
got_a_little_bit,13,of,6,0.461538461538462
got_a_long_way,6,to,6,1
got_a_lot_on,8,my,6,0.75
got_a_phone_call,9,from,6,0.666666666666667
got_me_to_thinking,10,about,6,0.6
got_out_of_his,6,car,6,1
got_the_hang_of,11,it,6,0.545454545454545
got_to_hang_out,10,with,6,0.6
got_to_the_end,10,of,6,0.6
great_day_to_be,33,alive,6,0.181818181818182
great_to_be_able,6,to,6,1
great_to_connect_with,14,you,6,0.428571428571429
great_to_meet_you,95,last,6,0.0631578947368421
great_to_see_you,131,at,6,0.0458015267175573
great_to_see_you,131,guys,6,0.0458015267175573
great_to_see_you,131,last,6,0.0458015267175573
great_way_to_end,18,the,6,0.333333333333333
great_way_to_start,64,a,6,0.09375
great_way_to_start,64,my,6,0.09375
grow_up_want_to,6,be,6,1
guess_is_as_good,6,as,6,1
hacked_follow_my_new,7,one,6,0.857142857142857
had_a_bit_of,41,an,6,0.146341463414634
had_a_chance_to,127,get,6,0.047244094488189
had_a_change_of,6,heart,6,1
had_a_good_day,33,today,6,0.181818181818182
had_a_great_day,80,with,6,0.075
had_a_great_time,328,today,6,0.0182926829268293
had_a_lot_of,144,trouble,6,0.0416666666666667
had_a_nickel_for,8,every,6,0.75
had_never_even_heard,6,of,6,1
had_never_heard_of,33,it,6,0.181818181818182
had_no_idea_he,8,was,6,0.75
had_no_idea_it,11,was,6,0.545454545454545
had_one_of_the,17,best,6,0.352941176470588
had_to_do_with,24,the,6,0.25
had_to_force_myself,8,to,6,0.75
happens_to_be_one,6,of,6,1
happy_birthday_have_a,12,good,6,0.5
happy_birthday_to_my,105,brother,6,0.0571428571428571
happy_birthday_to_the,67,beautiful,6,0.0895522388059701
happy_cinco_de_mayo,71,to,6,0.0845070422535211
happy_friday_to_you,19,too,6,0.315789473684211
happy_holidays_to_you,12,too,6,0.5
happy_mother's_day_from,12,all,6,0.5
happy_new_year_and,18,thanks,6,0.333333333333333
happy_to_announce_that,16,the,6,0.375
happy_to_be_back,15,in,6,0.4
happy_to_be_part,6,of,6,1
hard_as_can_because,6,taught,6,1
hard_for_me_to,73,believe,6,0.0821917808219178
hard_to_keep_up,13,with,6,0.461538461538462
has_a_bit_of,17,a,6,0.352941176470588
has_a_lot_of,83,great,6,0.072289156626506
has_a_lot_to,15,do,6,0.4
has_a_mind_of,6,its,6,1
has_done_a_great,7,job,6,0.857142857142857
has_everything_to_do,6,with,6,1
has_in_store_for,22,me,6,0.272727272727273
has_never_been_the,9,same,6,0.666666666666667
has_not_discovered_the,7,value,6,0.857142857142857
has_the_potential_to,27,be,6,0.222222222222222
has_to_do_with,79,my,6,0.0759493670886076
has_turned_out_to,7,be,6,0.857142857142857
hate_to_admit_it,13,but,6,0.461538461538462
hate_when_people_try,7,to,6,0.857142857142857
have_a_chance_check,8,out,6,0.75
have_a_chance_to,69,get,6,0.0869565217391304
have_a_great_day,416,too,6,0.0144230769230769
have_a_great_weekend,360,too,6,0.0166666666666667
have_a_link_to,12,the,6,0.5
have_a_lot_in,6,common,6,1
have_a_lot_of,262,followers,6,0.0229007633587786
have_a_lot_of,262,people,6,0.0229007633587786
have_a_lot_of,262,stuff,6,0.0229007633587786
have_a_pretty_good,16,idea,6,0.375
have_a_question_for,15,you,6,0.4
have_a_right_to,32,be,6,0.1875
have_a_safe_and,17,happy,6,0.352941176470588
have_a_special_place,7,in,6,0.857142857142857
have_any_questions_feel,6,free,6,1
have_anything_better_to,6,do,6,1
have_been_a_lot,14,of,6,0.428571428571429
have_been_wanting_to,22,do,6,0.272727272727273
have_come_to_realize,9,that,6,0.666666666666667
have_come_to_the,17,conclusion,6,0.352941176470588
have_had_in_the,7,past,6,0.857142857142857
have_had_the_chance,6,to,6,1
have_in_my_heart,8,the,6,0.75
have_no_idea_how,112,happy,6,0.0535714285714286
have_no_idea_what,159,is,6,0.0377358490566038
have_no_idea_what,159,that,6,0.0377358490566038
have_no_idea_where,40,to,6,0.15
have_not_had_a,11,chance,6,0.545454545454545
have_spent_a_lot,6,of,6,1
have_taken_the_time,7,to,6,0.857142857142857
have_the_light_of,6,life,6,1
have_to_check_that,9,out,6,0.666666666666667
have_to_do_with,57,the,6,0.105263157894737
have_to_figure_it,6,out,6,1
have_to_get_up,36,early,6,0.166666666666667
have_to_go_through,54,a,6,0.111111111111111
have_to_pay_for,40,the,6,0.15
have_to_take_a,38,look,6,0.157894736842105
have_to_take_care,6,of,6,1
have_to_tell_you,47,about,6,0.127659574468085
haven't_talked_to_in,13,a,6,0.461538461538462
having_a_hard_time,75,breathing,6,0.08
having_so_much_fun,21,with,6,0.285714285714286
he_doesn't_notice_me,6,won't,6,1
he_is_the_son,6,of,6,1
he_said_he_wanted,8,to,6,0.75
he_said_in_a,14,statement,6,0.428571428571429
he_was_going_to,79,be,6,0.0759493670886076
he_was_looking_at,12,me,6,0.5
he_was_the_one,19,who,6,0.315789473684211
head_on_over_to,35,the,6,0.171428571428571
hell_of_a_lot,25,more,6,0.24
help_spread_the_word,33,about,6,0.181818181818182
help_us_gain_more,6,fans,6,1
her_for_the_first,6,time,6,1
here_are_a_few,142,tips,6,0.0422535211267606
here_in_the_united,6,states,6,1
hey_can_you_please,9,follow,6,0.666666666666667
hit_me_in_the,13,face,6,0.461538461538462
honestly_think_it_is,7,better,6,0.857142857142857
hop_on_over_to,14,the,6,0.428571428571429
hope_everyone_has_a,107,blessed,6,0.0560747663551402
hope_have_a_chance,6,check,6,1
hope_you'll_be_able,6,to,6,1
hope_you're_having_a,86,wonderful,6,0.0697674418604651
hope_you_are_all,36,enjoying,6,0.166666666666667
hope_you_are_enjoying,24,this,6,0.25
hope_you_guys_have,8,a,6,0.75
hope_you_had_a,183,nice,6,0.0327868852459016
hope_your_day_is,34,great,6,0.176470588235294
hopefully_i'll_be_able,6,to,6,1
hoping_one_day_you,6,will,6,1
horrible_no_good_very,6,bad,6,1
hottest_hip_hop_dance,6,music,6,1
hours_a_day_days,6,a,6,1
hours_of_sleep_last,6,night,6,1
how_are_we_going,6,to,6,1
how_big_of_a,17,fan,6,0.352941176470588
how_close_they_were,7,to,6,0.857142857142857
how_do_you_do,26,it,6,0.230769230769231
how_do_you_find,13,out,6,0.461538461538462
how_do_you_know,66,that,6,0.0909090909090909
how_do_you_like,38,the,6,0.157894736842105
how_does_one_go,7,about,6,0.857142857142857
how_does_that_sound,11,to,6,0.545454545454545
how_does_this_relate,6,to,6,1
how_easy_it_was,9,to,6,0.666666666666667
how_hard_can_it,6,be,6,1
how_has_your_day,6,been,6,1
how_in_the_world,24,do,6,0.25
how_it_feels_to,17,be,6,0.352941176470588
how_long_did_it,7,take,6,0.857142857142857
how_long_it_takes,20,for,6,0.3
how_to_deal_with,36,the,6,0.166666666666667
how_to_get_out,6,of,6,1
how_to_get_the,23,most,6,0.260869565217391
how_was_your_day,45,today,6,0.133333333333333
how_you_me_and,6,follow,6,1
huge_arianator_she_loves,6,you,6,1
hundreds_of_thousands_of,42,people,6,0.142857142857143
i'd_be_happy_to,30,help,6,0.2
i'd_love_to_hear,44,what,6,0.136363636363636
i'd_love_to_know,24,what,6,0.25
i'll_always_be_here,8,for,6,0.75
i'll_be_sure_to,48,check,6,0.125
i'll_keep_trying_as,6,hard,6,1
i'll_take_what_can,6,get,6,1
i'm_going_to_get,46,a,6,0.130434782608696
i'm_going_to_go,45,to,6,0.133333333333333
i'm_going_to_make,29,a,6,0.206896551724138
i'm_in_a_bad,7,mood,6,0.857142857142857
i'm_in_love_with,67,a,6,0.0895522388059701
i'm_in_love_with,67,my,6,0.0895522388059701
i'm_in_the_middle,7,of,6,0.857142857142857
i'm_in_the_mood,17,for,6,0.352941176470588
i'm_just_going_to,67,say,6,0.0895522388059701
i'm_looking_forward_to,157,a,6,0.0382165605095541
i'm_looking_forward_to,157,reading,6,0.0382165605095541
i'm_looking_forward_to,157,your,6,0.0382165605095541
i'm_not_going_to,146,get,6,0.0410958904109589
i'm_not_going_to,146,tell,6,0.0410958904109589
i'm_not_sure_how,68,that,6,0.0882352941176471
i'm_not_sure_if,80,the,6,0.075
i'm_not_sure_if,80,you,6,0.075
i'm_not_very_good,8,at,6,0.75
i'm_on_my_way,49,there,6,0.122448979591837
i'm_proud_to_say,10,that,6,0.6
i'm_really_sorry_to,6,hear,6,1
i'm_so_excited_for,36,the,6,0.166666666666667
i'm_so_excited_to,48,be,6,0.125
i'm_so_happy_to,19,have,6,0.315789473684211
i'm_so_looking_forward,6,to,6,1
i'm_so_proud_of,59,him,6,0.101694915254237
i'm_so_proud_of,59,myself,6,0.101694915254237
i'm_still_waiting_for,19,the,6,0.315789473684211
i'm_sure_many_of,8,you,6,0.75
i'm_the_only_one,38,who,6,0.157894736842105
i've_been_a_fan,13,of,6,0.461538461538462
i've_been_looking_forward,6,to,6,1
i've_been_wanting_to,38,do,6,0.157894736842105
i've_been_wanting_to,38,try,6,0.157894736842105
i've_come_to_the,9,conclusion,6,0.666666666666667
i've_fallen_in_love,6,with,6,1
i've_had_in_a,13,long,6,0.461538461538462
i've_had_in_a,13,while,6,0.461538461538462
i_am_a_bit,11,of,6,0.545454545454545
i_am_going_to,131,have,6,0.0458015267175573
i_am_going_to,131,start,6,0.0458015267175573
i_am_not_sure,30,if,6,0.2
i_am_not_sure,30,what,6,0.2
i_am_so_thankful,12,for,6,0.5
i_can't_remember_the,6,last,6,1
i_can't_stop_listening,8,to,6,0.75
i_can't_stop_thinking,7,about,6,0.857142857142857
i_can_always_count,6,on,6,1
i_can_only_imagine,11,what,6,0.545454545454545
i_can_tell_you,25,that,6,0.24
i_cant_stop_thinking,7,about,6,0.857142857142857
i_cant_wait_to,57,get,6,0.105263157894737
i_could_go_for,16,a,6,0.375
i_could_go_on,14,and,6,0.428571428571429
i_could_really_use,15,a,6,0.4
i_could_really_use,15,some,6,0.4
i_didn't_say_it,9,was,6,0.666666666666667
i_didn't_think_it,10,was,6,0.6
i_do_have_to,8,say,6,0.75
i_don't_even_know,59,how,6,0.101694915254237
i_don't_even_know,59,where,6,0.101694915254237
i_don't_even_know,59,why,6,0.101694915254237
i_don't_even_want,7,to,6,0.857142857142857
i_don't_want_to,141,do,6,0.0425531914893617
i_dont_know_how,25,to,6,0.24
i_dont_wanna_go,9,to,6,0.666666666666667
i_feel_bad_for,24,the,6,0.25
i_get_to_see,18,my,6,0.333333333333333
i_got_a_lot,6,of,6,1
i_had_a_great,28,day,6,0.214285714285714
i_had_a_hard,6,time,6,1
i_had_never_heard,7,of,6,0.857142857142857
i_had_the_pleasure,8,of,6,0.75
i_had_to_go,11,to,6,0.545454545454545
i_have_a_crush,6,on,6,1
i_have_a_lot,33,to,6,0.181818181818182
i_have_in_my,8,heart,6,0.75
i_haven't_been_on,24,twitter,6,0.25
i_haven't_tweeted_in,7,a,6,0.857142857142857
i_honestly_think_it,6,is,6,1
i_hope_you_enjoyed,17,my,6,0.352941176470588
i_hope_you_like,21,the,6,0.285714285714286
i_just_finished_a,54,km,6,0.111111111111111
i_just_found_out,31,about,6,0.193548387096774
i_just_got_off,8,the,6,0.75
i_just_met_you,13,this,6,0.461538461538462
i_just_sent_you,10,a,6,0.6
i_just_wanted_to,60,let,6,0.1
i_knew_there_was,9,a,6,0.666666666666667
i_know_it's_hard,7,to,6,0.857142857142857
i_like_the_idea,9,of,6,0.666666666666667
i_like_the_sound,6,of,6,1
i_like_to_think,17,of,6,0.352941176470588
i_look_forward_to,56,seeing,6,0.107142857142857
i_look_forward_to,56,the,6,0.107142857142857
i_look_forward_to,56,your,6,0.107142857142857
i_love_her_so,6,much,6,1
i_love_it_so,7,much,6,0.857142857142857
i_love_the_idea,7,of,6,0.857142857142857
i_love_you_before,6,you,6,1
i_love_you_how,6,you,6,1
i_love_you_i,11,love,6,0.545454545454545
i_love_you_please,11,follow,6,0.545454545454545
i_never_thought_i'd,14,be,6,0.428571428571429
i_really_wanna_go,12,to,6,0.5
i_really_wanted_to,17,go,6,0.352941176470588
i_should_go_to,13,sleep,6,0.461538461538462
i_the_only_one,13,who,6,0.461538461538462
i_think_it_should,6,be,6,1
i_think_one_of,8,the,6,0.75
i_think_that_is,19,a,6,0.315789473684211
i_think_you_should,39,come,6,0.153846153846154
i_thought_i_was,20,the,6,0.3
i_thought_this_was,8,a,6,0.75
i_totally_agree_with,11,you,6,0.545454545454545
i_used_to_think,14,that,6,0.428571428571429
i_wanna_go_to,51,a,6,0.117647058823529
i_want_to_do,27,a,6,0.222222222222222
i_want_to_give,11,a,6,0.545454545454545
i_want_to_see,46,the,6,0.130434782608696
i_want_to_see,46,you,6,0.130434782608696
i_want_to_win,11,the,6,0.545454545454545
i_want_you_to,48,be,6,0.125
i_was_going_to,84,go,6,0.0714285714285714
i_was_in_high,6,school,6,1
i_will_do_my,7,best,6,0.857142857142857
i_will_follow_you,15,back,6,0.4
i_will_let_you,7,know,6,0.857142857142857
i_wish_i_had,24,a,6,0.25
i_wish_you_would,21,see,6,0.285714285714286
i_won't_stop_i'll,6,keep,6,1
i_wonder_how_many,37,people,6,0.162162162162162
i_wont_be_able,6,to,6,1
i_would_like_to,156,hear,6,0.0384615384615385
i_would_like_to,156,see,6,0.0384615384615385
i_would_like_to,156,take,6,0.0384615384615385
i_would_love_to,150,know,6,0.04
i_would_really_like,7,to,6,0.857142857142857
if_any_of_you,33,have,6,0.181818181818182
if_anyone_is_looking,6,for,6,1
if_anyone_wants_to,30,join,6,0.2
if_do_their_in,6,my,6,1
if_for_no_other,6,reason,6,1
if_he_doesn't_notice,6,me,6,1
if_it_wasn't_for,33,you,6,0.181818181818182
if_so_what_do,7,you,6,0.857142857142857
if_that_works_for,6,you,6,1
if_there's_a_way,7,to,6,0.857142857142857
if_there_ever_was,9,one,6,0.666666666666667
if_there_is_such,7,a,6,0.857142857142857
if_we_can_make,8,it,6,0.75
if_we_were_born,6,in,6,1
if_you'd_like_to,86,see,6,0.0697674418604651
if_you're_ever_in,25,the,6,0.24
if_you're_up_for,7,it,6,0.857142857142857
if_you_are_in,95,need,6,0.0631578947368421
if_you_are_unable,6,to,6,1
if_you_are_willing,8,to,6,0.75
if_you_can_call,11,it,6,0.545454545454545
if_you_do_not,82,like,6,0.0731707317073171
if_you_don't_have,118,it,6,0.0508474576271187
if_you_don't_like,68,my,6,0.0882352941176471
if_you_ever_have,15,a,6,0.4
if_you_followed_me,26,back,6,0.230769230769231
if_you_happen_to,37,have,6,0.162162162162162
if_you_have_something,9,to,6,0.666666666666667
if_you_have_the,50,time,6,0.12
if_you_haven't_done,8,so,6,0.75
if_you_haven't_read,17,it,6,0.352941176470588
if_you_haven't_seen,30,the,6,0.2
if_you_know_me,18,you,6,0.333333333333333
if_you_let_me,17,here's,6,0.352941176470588
if_you_like_what,7,you,6,0.857142857142857
if_you_look_closely,14,you,6,0.428571428571429
if_you_need_anything,35,else,6,0.171428571428571
if_you_need_more,22,follows,6,0.272727272727273
if_you_think_it,11,is,6,0.545454545454545
if_you_want_it,32,to,6,0.1875
if_you_want_them,14,to,6,0.428571428571429
if_you_want_to,626,check,6,0.00958466453674121
if_you_want_to,626,follow,6,0.00958466453674121
if_you_want_to,626,help,6,0.00958466453674121
if_you_want_to,626,play,6,0.00958466453674121
if_you_were_in,16,the,6,0.375
if_youre_a_fan,6,of,6,1
im_going_to_do,27,it,6,0.222222222222222
im_going_to_have,26,a,6,0.230769230769231
im_looking_forward_to,30,seeing,6,0.2
im_not_a_huge,8,fan,6,0.75
im_not_even_going,7,to,6,0.857142857142857
im_not_much_of,6,a,6,1
im_try_i_love,6,you,6,1
imagination_will_take_you,6,everywhere,6,1
imitation_is_the_sincerest,6,form,6,1
in_a_few_short,11,weeks,6,0.545454545454545
in_a_few_weeks,97,time,6,0.0618556701030928
in_a_food_processor,25,and,6,0.24
in_a_large_bowl,47,combine,6,0.127659574468085
in_a_large_bowl,47,mix,6,0.127659574468085
in_a_long_line,9,of,6,0.666666666666667
in_a_matter_of,31,minutes,6,0.193548387096774
in_a_month_or,12,two,6,0.5
in_a_series_of,51,excerpts,6,0.117647058823529
in_a_short_period,6,of,6,1
in_a_small_bowl,23,and,6,0.260869565217391
in_a_way_that,149,was,6,0.0402684563758389
in_all_shapes_and,6,sizes,6,1
in_all_the_right,9,places,6,0.666666666666667
in_an_attempt_to,70,get,6,0.0857142857142857
in_an_effort_to,76,get,6,0.0789473684210526
in_an_hour_and,9,a,6,0.666666666666667
in_and_out_of,117,my,6,0.0512820512820513
in_case_you_are,19,wondering,6,0.315789473684211
in_every_sense_of,8,the,6,0.75
in_for_a_real,6,treat,6,1
in_front_of_me,163,at,6,0.0368098159509202
in_front_of_my,48,face,6,0.125
in_front_of_the,238,computer,6,0.0252100840336134
in_front_of_the,238,mirror,6,0.0252100840336134
in_item_projected_above,16,letter,6,0.375
in_item_projected_above,16,pp,6,0.375
in_less_than_a,34,month,6,0.176470588235294
in_love_with_my,29,new,6,0.206896551724138
in_million_chance_that,7,you,6,0.857142857142857
in_my_dream_last,6,night,6,1
in_one_of_my,28,favorite,6,0.214285714285714
in_one_of_those,28,moods,6,0.214285714285714
in_order_to_be,63,a,6,0.0952380952380952
in_order_to_do,22,that,6,0.272727272727273
in_order_to_make,48,sure,6,0.125
in_overalls_and_looks,6,like,6,1
in_the_back_of,140,his,6,0.0428571428571429
in_the_back_of,140,our,6,0.0428571428571429
in_the_battle_of,12,the,6,0.5
in_the_betfred_cheltenham,6,gold,6,1
in_the_blank_my,6,favorite,6,1
in_the_corner_of,15,the,6,0.4
in_the_district_of,7,columbia,6,0.857142857142857
in_the_early_hours,7,of,6,0.857142857142857
in_the_early_part,6,of,6,1
in_the_eyes_of,48,god,6,0.125
in_the_face_of,117,death,6,0.0512820512820513
in_the_last_week,29,or,6,0.206896551724138
in_the_lead_up,6,to,6,1
in_the_life_of,42,the,6,0.142857142857143
in_the_lobby_of,9,the,6,0.666666666666667
in_the_lord_with,7,all,6,0.857142857142857
in_the_middle_of,638,our,6,0.00940438871473354
in_the_middle_of,638,winter,6,0.00940438871473354
in_the_middle_of,638,your,6,0.00940438871473354
in_the_midst_of,157,it,6,0.0382165605095541
in_the_mood_to,60,be,6,0.1
in_the_new_york,45,area,6,0.133333333333333
in_the_next_few,87,months,6,0.0689655172413793
in_the_northern_part,6,of,6,1
in_the_process_of,138,getting,6,0.0434782608695652
in_the_rear_view,6,mirror,6,1
in_the_s_and,21,s,6,0.285714285714286
in_the_same_room,33,as,6,0.181818181818182
in_the_same_room,33,with,6,0.181818181818182
in_the_true_sense,7,of,6,0.857142857142857
in_the_united_states,223,in,6,0.0269058295964126
in_the_valley_of,12,the,6,0.5
in_the_way_of,146,their,6,0.0410958904109589
in_the_world_love,9,you,6,0.666666666666667
in_the_world_right,8,now,6,0.75
in_the_world_where,12,would,6,0.5
in_three_words_can,6,sum,6,1
in_two_let_my,6,love,6,1
in_your_life_right,6,now,6,1
include_but_are_not,6,limited,6,1
instead_where_there_is,6,no,6,1
interesting_if_you_like,7,seo,6,0.857142857142857
into_the_back_of,22,the,6,0.272727272727273
into_the_center_comes,6,out,6,1
into_the_center_of,7,the,6,0.857142857142857
into_the_hands_of,21,the,6,0.285714285714286
is_a_fine_line,7,between,6,0.857142857142857
is_a_friend_of,10,mine,6,0.6
is_a_good_day,23,for,6,0.260869565217391
is_a_great_day,30,for,6,0.2
is_a_long_time,17,to,6,0.352941176470588
is_a_matter_of,23,choice,6,0.260869565217391
is_a_part_of,48,the,6,0.125
is_a_very_special,12,day,6,0.5
is_a_way_of,21,life,6,0.285714285714286
is_about_as_close,8,as,6,0.75
is_all_well_and,7,good,6,0.857142857142857
is_amazing_follow_me,6,follow,6,1
is_anything_we_can,6,do,6,1
is_as_good_as,33,mine,6,0.181818181818182
is_as_good_as,33,the,6,0.181818181818182
is_at_an_all,6,time,6,1
is_at_the_center,6,of,6,1
is_at_the_end,6,of,6,1
is_available_in_paper,7,form,6,0.857142857142857
is_becoming_more_and,6,more,6,1
is_better_to_be,14,a,6,0.428571428571429
is_between_a_man,7,and,6,0.857142857142857
is_by_going_beyond,6,them,6,1
is_by_no_means,23,a,6,0.260869565217391
is_definitely_one_of,14,my,6,0.428571428571429
is_dressed_in_overalls,6,and,6,1
is_finally_better_than,6,your,6,1
is_following_me_on,7,twitter,6,0.857142857142857
is_going_on_at,6,the,6,1
is_going_to_be,863,crazy,6,0.00695249130938586
is_going_to_be,863,okay,6,0.00695249130938586
is_going_to_get,32,a,6,0.1875
is_going_to_give,15,me,6,0.4
is_going_to_win,21,the,6,0.285714285714286
is_hard_for_me,10,to,6,0.6
is_hard_to_imagine,9,that,6,0.666666666666667
is_having_a_good,19,day,6,0.315789473684211
is_having_a_great,43,day,6,0.13953488372093
is_in_charge_of,20,the,6,0.3
is_in_the_hands,7,of,6,0.857142857142857
is_in_the_midst,8,of,6,0.75
is_it_bad_that,32,i'm,6,0.1875
is_leave_a_comment,12,on,6,0.5
is_like_riding_a,7,bicycle,6,0.857142857142857
is_looking_forward_to,33,seeing,6,0.181818181818182
is_making_me_want,7,to,6,0.857142857142857
is_missed_by_most,7,people,6,0.857142857142857
is_my_15th_birthday,7,and,6,0.857142857142857
is_my_new_favorite,35,song,6,0.171428571428571
is_never_to_late,6,to,6,1
is_no_need_for,11,a,6,0.545454545454545
is_no_one_alive,6,who,6,1
is_no_path_and,6,leave,6,1
is_no_right_or,6,wrong,6,1
is_not_a_lack,6,of,6,1
is_not_a_lot,7,of,6,0.857142857142857
is_not_a_matter,7,of,6,0.857142857142857
is_not_going_to,92,help,6,0.0652173913043478
is_not_good_for,14,the,6,0.428571428571429
is_not_one_of,28,my,6,0.214285714285714
is_not_the_key,6,to,6,1
is_not_the_worst,8,of,6,0.75
is_on_a_mission,8,to,6,0.75
is_on_her_way,9,to,6,0.666666666666667
is_on_the_way,34,to,6,0.176470588235294
is_one_in_million,6,chance,6,1
is_one_of_a,14,kind,6,0.428571428571429
is_one_of_my,231,most,6,0.025974025974026
is_one_of_our,27,favorite,6,0.222222222222222
is_one_of_the,617,better,6,0.00972447325769854
is_one_of_the,617,strongest,6,0.00972447325769854
is_one_of_the,617,sweetest,6,0.00972447325769854
is_one_who_can,8,lay,6,0.75
is_only_as_good,6,as,6,1
is_only_one_way,6,to,6,1
is_open_to_the,9,public,6,0.666666666666667
is_proof_that_god,6,loves,6,1
is_starting_to_look,10,like,6,0.6
is_still_one_of,15,my,6,0.4
is_such_a_big,18,enchancer,6,0.333333333333333
is_that_a_good,11,thing,6,0.545454545454545
is_that_a_lot,8,of,6,0.75
is_that_all_of,10,the,6,0.6
is_that_it_is,60,a,6,0.1
is_that_this_is,16,the,6,0.375
is_the_beginning_of,39,all,6,0.153846153846154
is_the_cutest_thing,10,ever,6,0.6
is_the_first_time,72,ive,6,0.0833333333333333
is_the_one_who,39,can,6,0.153846153846154
is_the_perfect_time,9,to,6,0.666666666666667
is_the_sincerest_form,6,of,6,1
is_the_time_to,58,get,6,0.103448275862069
is_the_word_of,12,god,6,0.5
is_the_word_of,12,the,6,0.5
is_the_worst_thing,25,ever,6,0.24
is_to_be_found,8,in,6,0.75
is_to_trend_on,6,twitter,6,1
is_trying_to_please,7,everybody,6,0.857142857142857
is_up_with_all,7,the,6,0.857142857142857
is_what_it_looks,6,like,6,1
is_what_makes_it,16,so,6,0.375
is_worth_more_than,18,a,6,0.333333333333333
is_your_favorite_thing,11,to,6,0.545454545454545
island_full_of_secrets,6,and,6,1
issued_a_severe_thunderstorm,7,warning,6,0.857142857142857
it'll_be_interesting_to,6,see,6,1
it's_a_great_place,10,to,6,0.6
it's_a_lot_of,25,fun,6,0.24
it's_been_a_long,67,week,6,0.0895522388059701
it's_been_a_while,83,but,6,0.072289156626506
it's_been_a_year,15,since,6,0.4
it's_cheap_doesn't_make,6,it,6,1
it's_for_a_good,7,cause,6,0.857142857142857
it's_going_to_be,319,one,6,0.0188087774294671
it's_going_to_be,319,the,6,0.0188087774294671
it's_gonna_be_a,55,great,6,0.109090909090909
it's_kind_of_hard,7,to,6,0.857142857142857
it's_one_of_the,41,most,6,0.146341463414634
it's_such_a_nice,8,day,6,0.75
it's_the_last_day,9,of,6,0.666666666666667
it's_the_little_things,15,that,6,0.4
it's_the_most_wonderful,6,time,6,1
it's_the_other_way,6,around,6,1
it's_time_to_move,9,on,6,0.666666666666667
it_as_an_opportunity,8,to,6,0.75
it_can_also_be,22,used,6,0.272727272727273
it_does_not_matter,19,how,6,0.315789473684211
it_feels_good_to,58,have,6,0.103448275862069
it_for_a_few,18,days,6,0.333333333333333
it_for_a_while,32,and,6,0.1875
it_for_what_it,6,is,6,1
it_had_to_do,6,with,6,1
it_has_been_a,140,very,6,0.0428571428571429
it_has_been_awhile,9,since,6,0.666666666666667
it_has_been_in,12,the,6,0.5
it_has_to_be,98,done,6,0.0612244897959184
it_is_against_the,7,law,6,0.857142857142857
it_is_by_no,6,means,6,1
it_is_dressed_in,6,overalls,6,1
it_is_easy_to,70,get,6,0.0857142857142857
it_is_hard_not,8,to,6,0.75
it_is_important_not,6,to,6,1
it_is_important_that,26,we,6,0.230769230769231
it_is_important_to,73,be,6,0.0821917808219178
it_is_more_than,22,just,6,0.272727272727273
it_is_not_a,83,good,6,0.072289156626506
it_is_not_surprising,9,that,6,0.666666666666667
it_is_obvious_that,14,the,6,0.428571428571429
it_is_one_thing,9,to,6,0.666666666666667
it_is_only_to,9,be,6,0.666666666666667
it_is_possible_to,45,get,6,0.133333333333333
it_is_really_hard,7,to,6,0.857142857142857
it_is_safe_to,12,say,6,0.5
it_is_the_end,6,of,6,1
it_is_to_be,49,a,6,0.122448979591837
it_is_true_that,31,the,6,0.193548387096774
it_is_up_to,22,you,6,0.272727272727273
it_is_very_hard,9,to,6,0.666666666666667
it_just_goes_to,6,show,6,1
it_looked_like_it,10,was,6,0.6
it_looks_like_i'll,8,be,6,0.75
it_makes_me_sad,30,that,6,0.2
it_makes_you_feel,20,better,6,0.3
it_may_be_hard,6,to,6,1
it_may_be_the,21,only,6,0.285714285714286
it_may_be_time,8,to,6,0.75
it_might_as_well,12,be,6,0.5
it_might_be_a,48,little,6,0.125
it_might_be_fun,8,to,6,0.75
it_might_be_time,16,for,6,0.375
it_needs_to_be,57,done,6,0.105263157894737
it_seemed_like_the,17,perfect,6,0.352941176470588
it_seems_to_be,65,the,6,0.0923076923076923
it_seems_to_have,16,been,6,0.375
it_takes_a_long,6,time,6,1
it_takes_a_village,7,to,6,0.857142857142857
it_to_the_next,15,level,6,0.4
it_took_me_a,54,few,6,0.111111111111111
it_took_me_a,54,long,6,0.111111111111111
it_took_me_forever,6,to,6,1
it_used_to_be,69,that,6,0.0869565217391304
it_was_a_bad,19,idea,6,0.315789473684211
it_was_a_nice,37,surprise,6,0.162162162162162
it_was_a_really,23,good,6,0.260869565217391
it_was_a_very,73,nice,6,0.0821917808219178
it_was_all_my,6,fault,6,1
it_was_like_he,9,was,6,0.666666666666667
it_was_part_of,14,the,6,0.428571428571429
it_was_really_nice,13,to,6,0.461538461538462
it_was_so_great,23,meeting,6,0.260869565217391
